robot,from,to,from_task,to_task,travel,depart_earliest,arrive_earliest,start_at_to,wait_at_to,switch_mission
0,depot_0,task 12,-1,12,3.060352,10.000000,13.060352,3.060352,0.000000,0
0,task 12,task 20,12,20,2.426104,6.060352,8.486456,10.000000,1.513544,1
0,task 20,task 16,20,16,0.681500,15.000000,15.681500,15.681500,0.000000,0
0,task 16,task 2,16,2,0.874889,19.681500,20.556389,20.556389,0.000000,0
0,task 2,task 19,2,19,5.001428,23.556389,28.557817,30.000000,1.442183,0
0,task 19,task 17,19,17,4.806525,32.000000,36.806525,40.000000,3.193475,0
0,task 17,end_0,17,-1,5.452689,45.000000,50.452689,,0.000000,0
1,depot_1,task 22,-1,22,2.508362,10.000000,12.508362,2.508362,0.000000,0
1,task 22,task 3,22,3,4.159872,7.508362,11.668234,11.668234,0.000000,0
1,task 3,task 10,3,10,2.883380,16.668234,19.551615,20.000000,0.448385,0
1,task 10,task 4,10,4,1.279880,25.000000,26.279880,30.000000,3.720120,0
1,task 4,task 8,4,8,4.195596,34.000000,38.195596,40.000000,1.804404,1
1,task 8,end_1,8,-1,4.077511,45.000000,49.077511,,0.000000,0
2,depot_2,task 6,-1,6,4.051315,10.000000,14.051315,4.051315,0.000000,0
2,task 6,task 15,6,15,1.544779,8.051315,9.596094,10.000000,0.403906,1
2,task 15,task 1,15,1,3.560690,13.000000,16.560690,16.560690,0.000000,0
2,task 1,task 23,1,23,3.455129,18.560690,22.015819,22.015819,0.000000,0
2,task 23,task 7,23,7,5.440653,24.015819,29.456472,30.000000,0.543528,1
2,task 7,task 14,7,14,4.097627,34.000000,38.097627,40.000000,1.902373,1
2,task 14,end_2,14,-1,4.068852,45.000000,49.068852,,0.000000,0
3,depot_3,task 9,-1,9,1.139169,10.000000,11.139169,1.139169,0.000000,0
3,task 9,task 0,9,0,2.728747,6.139169,8.867916,10.000000,1.132084,0
3,task 0,task 13,0,13,2.904929,14.000000,16.904929,20.000000,3.095071,1
3,task 13,task 11,13,11,0.486546,23.000000,23.486546,23.486546,0.000000,0
3,task 11,task 21,11,21,1.641081,28.486546,30.127627,30.127627,0.000000,0
3,task 21,task 5,21,5,1.520975,35.127627,36.648602,36.648602,0.000000,0
3,task 5,task 18,5,18,0.275295,39.648602,39.923897,40.000000,0.076103,0
3,task 18,end_3,18,-1,4.545143,44.000000,48.545143,,0.000000,0
