robot,task,mission,start,end,duration,bucket_start,bucket_end
0,12,2,3.060352,6.060352,3.000000,0,0
0,20,1,10.000000,15.000000,5.000000,1,1
0,16,1,15.681500,19.681500,4.000000,1,1
0,2,1,20.556389,23.556389,3.000000,2,2
0,19,1,30.000000,32.000000,2.000000,3,3
0,17,1,40.000000,45.000000,5.000000,4,4
1,22,1,2.508362,7.508362,5.000000,0,0
1,3,1,11.668234,16.668234,5.000000,1,1
1,10,1,20.000000,25.000000,5.000000,2,2
1,4,1,30.000000,34.000000,4.000000,3,3
1,8,0,40.000000,45.000000,5.000000,4,4
2,6,0,4.051315,8.051315,4.000000,0,0
2,15,1,10.000000,13.000000,3.000000,1,1
2,1,1,16.560690,18.560690,2.000000,1,1
2,23,1,22.015819,24.015819,2.000000,2,2
2,7,0,30.000000,34.000000,4.000000,3,3
2,14,1,40.000000,45.000000,5.000000,4,4
3,9,0,1.139169,6.139169,5.000000,0,0
3,0,0,10.000000,14.000000,4.000000,1,1
3,13,1,20.000000,23.000000,3.000000,2,2
3,11,1,23.486546,28.486546,5.000000,2,2
3,21,1,30.127627,35.127627,5.000000,3,3
3,5,1,36.648602,39.648602,3.000000,3,3
3,18,1,40.000000,44.000000,4.000000,4,4
