robot,seq,from_label,to_label,from_task,to_task,from_mission,to_mission,from_x,from_y,to_x,to_y,travel
0,0,depot_0,task 12,-1,12,-1,2,114.3174871,-65.35151274,-37.66629246,-83.10870534,3.060352079
0,1,task 12,task 20,12,20,2,1,-37.66629246,-83.10870534,35.90656813,13.33809257,2.426103926
0,2,task 20,task 16,20,16,1,1,35.90656813,13.33809257,6.41706376,30.41075466,0.6815003035
0,3,task 16,task 2,16,2,1,1,6.41706376,30.41075466,-26.15074876,59.61546709,0.8748891679
0,4,task 2,task 19,2,19,1,1,-26.15074876,59.61546709,-116.9471442,-173.3903423,5.001427502
0,5,task 19,task 17,19,17,1,1,-116.9471442,-173.3903423,-124.1316241,66.82850267,4.806525158
0,6,task 17,end_0,17,-1,1,-1,-124.1316241,66.82850267,114.3174871,-65.35151274,5.452688698
1,0,depot_1,task 22,-1,22,-1,1,-71.92848646,-3.151273761,-181.7837416,57.35924213,2.508361985
1,1,task 22,task 3,22,3,1,1,-181.7837416,57.35924213,-101.0613752,249.0497371,4.159872416
1,2,task 3,task 10,3,10,1,1,-101.0613752,249.0497371,-87.69432763,105.501746,2.883380218
1,3,task 10,task 4,10,4,1,1,-87.69432763,105.501746,-23.81139653,101.733219,1.279879788
1,4,task 4,task 8,4,8,1,0,-23.81139653,101.733219,128.0072645,-43.03786963,4.19559645
1,5,task 8,end_1,8,-1,0,-1,128.0072645,-43.03786963,-71.92848646,-3.151273761,4.077511253
2,0,depot_2,task 6,-1,6,-1,0,-98.53679717,-163.7023164,58.44232277,-35.67719986,4.05131458
2,1,task 6,task 15,6,15,0,1,58.44232277,-35.67719986,81.37085933,-109.4344866,1.544778965
2,2,task 15,task 1,15,1,1,1,81.37085933,-109.4344866,-68.59212806,-13.47932519,3.560690415
2,3,task 1,task 23,1,23,1,1,-68.59212806,-13.47932519,-19.69271659,152.2120656,3.455128907
2,4,task 23,task 7,23,7,1,0,-19.69271659,152.2120656,6.961954162,-118.5115784,5.440653007
2,5,task 7,task 14,7,14,0,1,6.961954162,-118.5115784,-125.2818727,37.97462171,4.097626658
2,6,task 14,end_2,14,-1,1,-1,-125.2818727,37.97462171,-98.53679717,-163.7023164,4.068851752
3,0,depot_3,task 9,-1,9,-1,0,90.02284984,-117.9709398,105.9913574,-63.29672452,1.139168654
3,1,task 9,task 0,9,0,0,0,105.9913574,-63.29672452,144.3214686,67.64584241,2.728747204
3,2,task 0,task 13,0,13,0,1,144.3214686,67.64584241,0.24057997,86.00946037,2.904928567
3,3,task 13,task 11,13,11,1,1,0.24057997,86.00946037,17.48711166,103.1668226,0.4865461677
3,4,task 11,task 21,11,21,1,1,17.48711166,103.1668226,90.05112153,64.86103699,1.641081197
3,5,task 21,task 5,21,5,1,1,90.05112153,64.86103699,17.19048878,86.64955412,1.520974856
3,6,task 5,task 18,5,18,1,1,17.19048878,86.64955412,4.834369021,92.71540541,0.2752949309
3,7,task 18,end_3,18,-1,1,-1,4.834369021,92.71540541,90.02284984,-117.9709398,4.545143049
