robot,seq,from_label,to_label,from_task,to_task,from_mission,to_mission,from_x,from_y,to_x,to_y,travel
0,0,depot_0,task 7,-1,7,-1,0,-71.92848646,-3.151273761,128.0072645,-43.03786963,4.077511253
0,1,task 7,task 10,7,10,0,2,128.0072645,-43.03786963,-98.53679717,-163.7023164,5.133502532
0,2,task 10,task 18,10,18,2,1,-98.53679717,-163.7023164,4.834369021,92.71540541,5.529399464
0,3,task 18,task 23,18,23,1,1,4.834369021,92.71540541,-19.69271659,152.2120656,1.28707894
0,4,task 23,task 8,23,8,1,0,-19.69271659,152.2120656,116.6441362,-53.17562298,4.930389032
0,5,task 8,end_0,8,-1,0,-1,116.6441362,-53.17562298,-71.92848646,-3.151273761,3.901900538
1,0,depot_1,task 14,-1,14,-1,1,-43.79393647,-115.4569049,-125.2818727,37.97462171,3.474565706
1,1,task 14,task 5,14,5,1,1,-125.2818727,37.97462171,17.19048878,86.64955412,3.01115412
1,2,task 5,task 20,5,20,1,1,17.19048878,86.64955412,35.90656813,13.33809257,1.513256359
1,3,task 20,task 1,20,1,1,1,35.90656813,13.33809257,-68.59212806,-13.47932519,2.157697977
1,4,task 1,task 16,1,16,1,1,-68.59212806,-13.47932519,6.41706376,30.41075466,1.738127494
1,5,task 16,task 2,16,2,1,1,6.41706376,30.41075466,-26.15074876,59.61546709,0.8748891679
1,6,task 2,task 17,2,17,1,1,-26.15074876,59.61546709,-124.1316241,66.82850267,1.964920337
1,7,task 17,task 15,17,15,1,1,-124.1316241,66.82850267,81.37085933,-109.4344866,5.414791301
1,8,task 15,end_1,15,-1,1,-1,81.37085933,-109.4344866,-43.79393647,-115.4569049,2.506191982
2,0,depot_2,task 6,-1,6,-1,0,105.9913574,-63.29672452,6.961954162,-118.5115784,2.267642193
2,1,task 6,task 9,6,9,0,0,6.961954162,-118.5115784,90.02284984,-117.9709398,1.661253103
2,2,task 9,task 3,9,3,0,1,90.02284984,-117.9709398,-101.0613752,249.0497371,8.275683859
2,3,task 3,task 21,3,21,1,1,-101.0613752,249.0497371,90.05112153,64.86103699,5.308463569
2,4,task 21,task 4,21,4,1,1,90.05112153,64.86103699,-23.81139653,101.733219,2.393677574
2,5,task 4,end_2,4,-1,1,-1,-23.81139653,101.733219,105.9913574,-63.29672452,4.199220745
3,0,depot_3,task 0,-1,0,-1,0,114.3174871,-65.35151274,144.3214686,67.64584241,2.726795584
3,1,task 0,task 22,0,22,0,1,144.3214686,67.64584241,-181.7837416,57.35924213,6.525348184
3,2,task 22,task 19,22,19,1,1,-181.7837416,57.35924213,-116.9471442,-173.3903423,4.793710676
3,3,task 19,task 13,19,13,1,1,-116.9471442,-173.3903423,0.24057997,86.00946037,5.692845346
3,4,task 13,task 11,13,11,1,1,0.24057997,86.00946037,-87.69432763,105.501746,1.80138804
3,5,task 11,task 12,11,12,1,1,-87.69432763,105.501746,17.48711166,103.1668226,2.104147052
3,6,task 12,end_3,12,-1,1,-1,17.48711166,103.1668226,114.3174871,-65.35151274,3.88713524
