robot,task,mission,start,end,duration,bucket_start,bucket_end
0,7,0,4.077511,9.077511,5.000000,0,0
0,10,2,14.211014,17.211014,3.000000,1,1
0,18,1,30.000000,34.000000,4.000000,3,3
0,23,1,35.287079,37.287079,2.000000,3,3
0,8,0,42.217468,47.217468,5.000000,4,4
1,14,1,3.474566,8.474566,5.000000,0,0
1,5,1,11.485720,14.485720,3.000000,1,1
1,20,1,20.000000,25.000000,5.000000,2,2
1,1,1,30.000000,32.000000,2.000000,3,3
1,16,1,33.738127,37.738127,4.000000,3,3
1,2,1,40.000000,43.000000,3.000000,4,4
1,17,1,44.964920,49.964920,5.000000,4,4
1,15,1,55.379712,58.379712,3.000000,5,5
2,6,0,2.267642,6.267642,4.000000,0,0
2,9,0,10.000000,15.000000,5.000000,1,1
2,3,1,23.275684,28.275684,5.000000,2,2
2,21,1,33.584147,38.584147,5.000000,3,3
2,4,1,40.977825,44.977825,4.000000,4,4
3,0,0,2.726796,6.726796,4.000000,0,0
3,22,1,13.252144,18.252144,5.000000,1,1
3,19,1,23.045854,25.045854,2.000000,2,2
3,13,1,30.738700,33.738700,3.000000,3,3
3,11,1,40.000000,45.000000,5.000000,4,4
3,12,1,50.000000,55.000000,5.000000,5,5
