robot,from,to,from_task,to_task,travel,depart_earliest,arrive_earliest,start_at_to,wait_at_to,switch_mission
0,depot_0,task 7,-1,7,4.077511,10.000000,14.077511,4.077511,0.000000,0
0,task 7,task 10,7,10,5.133503,9.077511,14.211014,14.211014,0.000000,1
0,task 10,task 18,10,18,5.529399,17.211014,22.740413,30.000000,7.259587,1
0,task 18,task 23,18,23,1.287079,34.000000,35.287079,35.287079,0.000000,0
0,task 23,task 8,23,8,4.930389,37.287079,42.217468,42.217468,0.000000,1
0,task 8,end_0,8,-1,3.901901,47.217468,51.119369,,0.000000,0
1,depot_1,task 14,-1,14,3.474566,10.000000,13.474566,3.474566,0.000000,0
1,task 14,task 5,14,5,3.011154,8.474566,11.485720,11.485720,0.000000,0
1,task 5,task 20,5,20,1.513256,14.485720,15.998976,20.000000,4.001024,0
1,task 20,task 1,20,1,2.157698,25.000000,27.157698,30.000000,2.842302,0
1,task 1,task 16,1,16,1.738127,32.000000,33.738127,33.738127,0.000000,0
1,task 16,task 2,16,2,0.874889,37.738127,38.613017,40.000000,1.386983,0
1,task 2,task 17,2,17,1.964920,43.000000,44.964920,44.964920,0.000000,0
1,task 17,task 15,17,15,5.414791,49.964920,55.379712,55.379712,0.000000,0
1,task 15,end_1,15,-1,2.506192,58.379712,60.885904,,0.000000,0
2,depot_2,task 6,-1,6,2.267642,10.000000,12.267642,2.267642,0.000000,0
2,task 6,task 9,6,9,1.661253,6.267642,7.928895,10.000000,2.071105,0
2,task 9,task 3,9,3,8.275684,15.000000,23.275684,23.275684,0.000000,1
2,task 3,task 21,3,21,5.308464,28.275684,33.584147,33.584147,0.000000,0
2,task 21,task 4,21,4,2.393678,38.584147,40.977825,40.977825,0.000000,0
2,task 4,end_2,4,-1,4.199221,44.977825,49.177046,,0.000000,0
3,depot_3,task 0,-1,0,2.726796,10.000000,12.726796,2.726796,0.000000,0
3,task 0,task 22,0,22,6.525348,6.726796,13.252144,13.252144,0.000000,1
3,task 22,task 19,22,19,4.793711,18.252144,23.045854,23.045854,0.000000,0
3,task 19,task 13,19,13,5.692845,25.045854,30.738700,30.738700,0.000000,0
3,task 13,task 11,13,11,1.801388,33.738700,35.540088,40.000000,4.459912,0
3,task 11,task 12,11,12,2.104147,45.000000,47.104147,50.000000,2.895853,0
3,task 12,end_3,12,-1,3.887135,55.000000,58.887135,,0.000000,0
