robot,seq,from_label,to_label,from_task,to_task,from_mission,to_mission,from_x,from_y,to_x,to_y,travel
0,0,depot_0,task 2,-1,2,-1,2,80,0,-71.92848646,-3.151273761,3.039223291
0,1,task 2,task 16,2,16,2,1,-71.92848646,-3.151273761,-87.69432763,105.501746,2.195817884
0,2,task 16,task 3,16,3,1,1,-87.69432763,105.501746,-26.15074876,59.61546709,1.53533875
0,3,task 3,task 10,3,10,1,0,-26.15074876,59.61546709,128.0072645,-43.03786963,3.704181453
0,4,task 10,task 7,10,7,0,1,128.0072645,-43.03786963,17.19048878,86.64955412,3.411696684
0,5,task 7,end_0,7,-1,1,-1,17.19048878,86.64955412,80,0,2.140390612
1,0,depot_1,task 18,-1,18,-1,2,-40,69.2820323,-37.66629246,-83.10870534,3.048172115
1,1,task 18,task 5,18,5,2,2,-37.66629246,-83.10870534,-43.79393647,-115.4569049,0.658469145
1,2,task 5,task 9,5,9,2,0,-43.79393647,-115.4569049,6.961954162,-118.5115784,1.016954564
1,3,task 9,task 1,9,1,0,1,6.961954162,-118.5115784,-68.59212806,-13.47932519,2.587677998
1,4,task 1,task 17,1,17,1,1,-68.59212806,-13.47932519,17.48711166,103.1668226,2.899376436
1,5,task 17,task 6,17,6,1,1,17.48711166,103.1668226,-23.81139653,101.733219,0.8264676638
1,6,task 6,end_1,6,-1,1,-1,-23.81139653,101.733219,-40,69.2820323,0.7253000475
2,0,depot_2,task 11,-1,11,-1,0,-40,-69.2820323,105.9913574,-63.29672452,2.922279955
2,1,task 11,task 0,11,0,0,0,105.9913574,-63.29672452,144.3214686,67.64584241,2.728747204
2,2,task 0,task 12,0,12,0,0,144.3214686,67.64584241,116.6441362,-53.17562298,2.479020874
2,3,task 12,task 13,12,13,0,0,116.6441362,-53.17562298,90.02284984,-117.9709398,1.401017626
2,4,task 13,end_2,13,-1,0,-1,90.02284984,-117.9709398,-40,-69.2820323,2.776800403
3,0,depot_3,task 8,-1,8,-1,0,80,0,58.44232277,-35.67719986,0.8336896394
3,1,task 8,task 15,8,15,0,0,58.44232277,-35.67719986,114.3174871,-65.35151274,1.265321908
3,2,task 15,task 14,15,14,0,2,114.3174871,-65.35151274,-98.53679717,-163.7023164,4.689555497
3,3,task 14,task 19,14,19,2,1,-98.53679717,-163.7023164,0.24057997,86.00946037,5.370770586
3,4,task 19,task 4,19,4,1,1,0.24057997,86.00946037,-101.0613752,249.0497371,3.838969547
3,5,task 4,end_3,4,-1,1,-1,-101.0613752,249.0497371,80,0,6.158213804
