robot,from,to,from_task,to_task,travel,depart_earliest,arrive_earliest,start_at_to,wait_at_to,switch_mission
0,depot_0,task 2,-1,2,3.039223,0.000000,3.039223,3.039223,0.000000,0
0,task 2,task 16,2,16,2.195818,7.039223,9.235041,10.000000,0.764959,1
0,task 16,task 3,16,3,1.535339,15.000000,16.535339,16.535339,0.000000,0
0,task 3,task 10,3,10,3.704181,19.535339,23.239520,23.239520,0.000000,1
0,task 10,task 7,10,7,3.411697,28.239520,31.651217,31.651217,0.000000,1
0,task 7,end_0,7,-1,2.140391,34.651217,36.791607,,0.000000,0
1,depot_1,task 18,-1,18,3.048172,0.000000,3.048172,3.048172,0.000000,0
1,task 18,task 5,18,5,0.658469,6.048172,6.706641,6.999000,0.292359,0
1,task 5,task 9,5,9,1.016955,9.999000,11.015955,11.015955,0.000000,1
1,task 9,task 1,9,1,2.587678,15.015955,17.603633,20.000000,2.396367,1
1,task 1,task 17,1,17,2.899376,22.000000,24.899376,24.899376,0.000000,0
1,task 17,task 6,17,6,0.826468,29.899376,30.725844,30.725844,0.000000,0
1,task 6,end_1,6,-1,0.725300,34.725844,35.451144,,0.000000,0
2,depot_2,task 11,-1,11,2.922280,0.000000,2.922280,4.999000,2.076720,0
2,task 11,task 0,11,0,2.728747,9.999000,12.727747,15.999000,3.271253,0
2,task 0,task 12,0,12,2.479021,19.999000,22.478021,22.478021,0.000000,0
2,task 12,task 13,12,13,1.401018,27.478021,28.879038,30.000000,1.120962,0
2,task 13,end_2,13,-1,2.776800,35.000000,37.776800,,0.000000,0
3,depot_3,task 8,-1,8,0.833690,0.000000,0.833690,0.833690,0.000000,0
3,task 8,task 15,8,15,1.265322,4.833690,6.099012,6.099012,0.000000,0
3,task 15,task 14,15,14,4.689555,8.099012,12.788567,12.788567,0.000000,1
3,task 14,task 19,14,19,5.370771,15.788567,21.159338,23.161030,2.001693,1
3,task 19,task 4,19,4,3.838970,26.161030,30.000000,30.000000,0.000000,0
3,task 4,end_3,4,-1,6.158214,35.000000,41.158214,,0.000000,0
